id,nome,idade,peso,velocidadeMaxima,raca
76,Valente_165,11,436.59,52.89,Campolina
77,Sombra_2484,11,438.9,63.44,Puro Sangue
78,Relampago_3100,9,527.08,58.1,Mangalarga
79,Galante_3672,8,573.0,72.21,Puro Sangue
80,Furacão_8114,7,545.9,71.69,Crioulo
81,Dominante_7925,15,497.21,43.76,Paint Horse
82,Dominante_603,8,564.93,67.65,Appaloosa
83,Furacão_9125,5,448.18,56.26,Paint Horse
84,Tempestade_7545,3,552.01,67.15,Quarto de Milha
85,Lendario_3283,10,372.31,73.82,Quarto de Milha
86,Raio_2410,3,430.25,53.46,Mangalarga
87,Ventania_6373,7,404.91,64.39,Paint Horse
88,Galante_9075,7,382.16,54.1,Crioulo
89,Estrela_7365,12,404.32,63.7,Campolina
90,Trovão_3409,7,402.64,59.44,Mangalarga
91,Lendario_2624,7,560.62,50.85,Puro Sangue
92,Mustang_481,12,447.97,70.54,Crioulo
93,Espartano_162,7,559.26,44.9,Quarto de Milha
94,Apollo_184,5,472.45,41.93,Appaloosa
95,Estrela_2077,13,527.75,40.08,Mangalarga
96,Relampago_538,6,552.36,58.25,Appaloosa
97,Titan_7358,13,593.63,45.87,Appaloosa
98,Trovão_8236,4,361.68,71.2,Appaloosa
99,Estrela_2120,2,395.6,48.59,Paint Horse
100,Tempestade_3346,12,485.01,43.94,Campolina
101,Lendario_8936,9,456.75,48.24,Puro Sangue
102,Galante_1928,2,483.35,64.27,Puro Sangue
103,Ventania_2921,7,579.08,48.57,Puro Sangue
104,Mustang_6112,9,551.54,69.0,Campolina
105,Espartano_6185,7,476.35,53.4,Quarto de Milha
106,Relampago_7623,8,364.4,58.41,Campolina
107,Raio_1762,4,494.71,69.26,Paint Horse
108,Furacão_4896,3,495.72,57.75,Mangalarga
109,Tempestade_8125,10,422.97,49.78,Appaloosa
110,Lendario_1715,12,590.41,51.53,Paint Horse
111,Furacão_1812,4,488.49,71.12,Mangalarga
112,Relampago_6036,15,395.02,62.72,Quarto de Milha
113,Sombra_6926,15,523.33,45.46,Mangalarga
114,Trovão_6187,8,445.29,60.47,Mangalarga
115,Apollo_5676,7,377.02,59.74,Crioulo
116,Furacão_5908,5,568.98,74.83,Paint Horse
117,Espartano_9353,13,494.55,62.74,Puro Sangue
118,Titan_1180,12,536.92,73.46,Campolina
119,Estrela_5912,9,393.66,62.53,Paint Horse
120,Relampago_2473,6,455.93,71.24,Crioulo
121,Apollo_1097,11,366.65,52.23,Mangalarga
122,Tempestade_132,12,400.09,62.26,Appaloosa
123,Pegasus_7312,2,460.73,66.61,Puro Sangue
124,Estrela_5161,11,410.27,59.27,Mangalarga
125,Trovão_7713,5,533.63,64.07,Campolina
126,Furacão_256,4,361.54,72.03,Mangalarga
127,Veloz_1806,9,520.66,58.6,Crioulo
128,Galante_3461,11,474.64,43.74,Quarto de Milha
129,Sombra_3732,9,476.84,63.52,Puro Sangue
130,Valente_4851,11,484.31,62.15,Campolina
131,Cometa_7467,5,404.7,44.09,Crioulo
132,Sombra_8140,4,455.89,71.88,Appaloosa
133,Ventania_4712,4,594.81,51.94,Puro Sangue
134,Mustang_9127,13,575.49,41.46,Paint Horse
135,Lendario_3022,4,382.87,48.9,Paint Horse
136,Relampago_6899,8,463.64,53.88,Crioulo
137,Estrela_1163,14,443.01,64.84,Paint Horse
138,Pegasus_4218,8,449.53,64.71,Quarto de Milha
139,Estrela_7793,10,359.56,40.43,Campolina
140,Lendario_6457,11,534.3,52.71,Mangalarga
141,Veloz_8799,4,358.87,72.92,Crioulo
142,Lendario_5393,3,471.4,67.56,Puro Sangue
143,Titan_5038,10,539.21,48.52,Puro Sangue
144,Mustang_3696,12,571.93,55.93,Campolina
145,Veloz_7192,14,496.64,71.73,Mangalarga
146,Valente_2298,14,380.71,60.01,Campolina
147,Furacão_7846,14,566.0,61.12,Appaloosa
148,Mustang_6328,4,428.43,42.19,Puro Sangue
149,Trovão_6207,12,391.89,71.54,Crioulo
150,Lendario_1503,15,398.35,48.39,Campolina
151,Ventania_5091,14,542.92,53.38,Puro Sangue
152,Cometa_9237,12,590.86,59.43,Paint Horse
153,Mustang_6519,13,570.54,63.8,Crioulo
154,Apollo_6863,3,578.98,42.29,Mangalarga
155,Mustang_8139,12,406.62,40.7,Appaloosa
156,Relampago_922,15,427.85,52.52,Paint Horse
157,Relampago_1945,13,462.6,54.86,Paint Horse
158,Pegasus_4657,12,595.51,63.01,Mangalarga
159,Mustang_2801,4,433.64,74.06,Mangalarga
160,Raio_5274,10,454.56,56.11,Mangalarga
161,Galante_24,9,462.83,57.78,Campolina
162,Titan_8845,8,481.26,58.57,Quarto de Milha
163,Cometa_1605,8,523.52,49.71,Mangalarga
164,Cometa_9472,14,389.13,41.89,Quarto de Milha
165,Dominante_3777,2,392.28,70.56,Puro Sangue
166,Cometa_7958,8,478.49,46.26,Appaloosa
167,Espartano_7096,6,573.43,70.32,Quarto de Milha
168,Pegasus_1841,4,531.26,45.32,Quarto de Milha
169,Veloz_2782,6,509.87,54.67,Puro Sangue
170,Furacão_1584,5,539.85,70.89,Campolina
171,Dominante_7014,6,586.74,46.22,Crioulo
172,Raio_552,10,592.33,58.29,Quarto de Milha
173,Dominante_8153,8,464.41,71.31,Puro Sangue
174,Apollo_609,15,467.71,68.41,Puro Sangue
175,Valente_2501,15,421.4,49.21,Quarto de Milha
176,Atlas_9207,14,488.39,51.1,Mangalarga
177,Cometa_8592,13,506.03,66.97,Paint Horse
178,Atlas_8424,6,465.72,48.5,Crioulo
179,Espartano_9751,4,507.94,58.53,Campolina
180,Tempestade_1032,8,512.29,55.31,Quarto de Milha
181,Atlas_6528,12,353.65,47.31,Mangalarga
182,Espartano_6682,15,456.59,68.81,Appaloosa
183,Cometa_3768,7,452.93,67.75,Quarto de Milha
184,Galante_5593,6,590.56,46.79,Paint Horse
185,Veloz_6645,9,458.54,74.3,Campolina
186,Galante_5424,14,417.26,59.86,Mangalarga
187,Mustang_8050,9,489.51,69.4,Puro Sangue
188,Espartano_9415,11,395.63,59.59,Crioulo
189,Espartano_132,9,383.33,70.22,Appaloosa
190,Apollo_2242,10,445.73,40.74,Paint Horse
191,Galante_3515,13,366.82,72.11,Campolina
192,Valente_1568,14,582.2,55.12,Crioulo
193,Raio_7206,10,379.39,73.58,Campolina
194,Titan_7583,7,410.37,70.1,Crioulo
195,Veloz_3626,7,561.86,64.17,Crioulo
196,Dominante_1321,4,413.12,66.72,Quarto de Milha
197,Apollo_9689,15,403.0,48.01,Crioulo
198,Relampago_2548,10,434.99,69.64,Paint Horse
199,Galante_4983,5,438.29,73.95,Appaloosa
200,Tempestade_2525,14,422.15,49.98,Paint Horse
201,Apollo_5634,5,493.0,41.16,Mangalarga
202,Trovão_4306,2,437.11,65.0,Puro Sangue
203,Trovão_3887,13,527.37,44.54,Crioulo
204,Sombra_7716,12,586.52,49.69,Appaloosa
205,Trovão_2308,8,376.74,40.12,Appaloosa
206,Tempestade_1425,5,437.25,58.17,Mangalarga
207,Lendario_7592,12,588.71,74.94,Quarto de Milha
208,Raio_7295,8,471.09,70.94,Mangalarga
209,Mustang_5869,3,470.23,66.81,Puro Sangue
210,Sombra_6301,9,523.98,46.44,Mangalarga
211,Pegasus_1220,14,535.78,51.17,Crioulo
212,Pegasus_6046,9,567.87,58.63,Crioulo
213,Tempestade_2777,2,365.42,74.84,Crioulo
214,Sombra_8695,4,576.97,57.98,Campolina
215,Ventania_4377,12,476.77,64.85,Puro Sangue
216,Relampago_9427,8,528.51,53.68,Crioulo
217,Trovão_2780,10,468.27,57.5,Mangalarga
218,Mustang_4326,2,390.23,67.67,Mangalarga
219,Estrela_4005,3,409.36,59.26,Campolina
220,Lendario_1248,6,431.36,72.33,Mangalarga
221,Ventania_1295,4,464.81,54.59,Quarto de Milha
222,Raio_7367,6,578.76,42.79,Paint Horse
223,Lendario_3467,12,539.5,74.28,Puro Sangue
224,Atlas_2673,7,529.51,72.12,Mangalarga
225,Cometa_831,5,372.92,67.75,Appaloosa
226,Pegasus_4148,15,406.57,42.53,Mangalarga
227,Mustang_4288,5,531.4,58.54,Campolina
228,Estrela_448,9,370.73,47.34,Puro Sangue
229,Atlas_5346,13,458.98,73.66,Puro Sangue
230,Estrela_5571,3,543.47,51.18,Crioulo
231,Dominante_3528,14,584.1,53.68,Puro Sangue
232,Atlas_9694,3,545.03,59.9,Campolina
233,Mustang_3548,15,366.63,56.38,Quarto de Milha
234,Furacão_2742,9,575.51,71.23,Campolina
235,Pegasus_3523,9,501.42,68.55,Mangalarga
236,Valente_9805,3,402.11,58.39,Crioulo
237,Trovão_2935,4,437.36,46.03,Paint Horse
238,Pegasus_3807,9,450.55,55.87,Mangalarga
239,Ventania_7057,10,530.42,70.96,Puro Sangue
240,Galante_4605,9,484.9,59.94,Quarto de Milha
241,Espartano_4027,8,410.74,74.9,Mangalarga
242,Raio_3572,14,483.96,47.02,Mangalarga
243,Apollo_3419,6,506.55,66.59,Paint Horse
244,Relampago_4076,6,598.46,46.72,Campolina
245,Espartano_2035,7,556.81,51.95,Crioulo
246,Apollo_8943,14,413.21,43.58,Appaloosa
247,Galante_155,10,534.04,40.75,Quarto de Milha
248,Mustang_1516,6,366.48,45.99,Campolina
249,Trovão_4919,7,562.78,72.78,Crioulo
250,Titan_6868,3,478.66,50.88,Puro Sangue
251,Trovão_7612,9,496.65,64.49,Quarto de Milha
252,Relampago_8712,12,557.0,50.1,Appaloosa
253,Espartano_8018,11,457.21,47.52,Crioulo
254,Titan_2699,10,559.77,63.85,Paint Horse
255,Apollo_7403,7,389.12,73.61,Puro Sangue
256,Espartano_7821,14,484.08,60.18,Quarto de Milha
257,Sombra_4443,14,383.34,53.68,Mangalarga
258,Estrela_6684,14,520.06,54.29,Puro Sangue
259,Titan_4100,4,519.51,57.88,Quarto de Milha
260,Mustang_1296,15,364.17,69.45,Puro Sangue
261,Valente_235,5,582.58,59.85,Appaloosa
262,Pegasus_1226,4,541.58,41.34,Campolina
263,Relampago_826,10,420.97,50.67,Campolina
264,Relampago_6567,8,384.31,53.33,Crioulo
265,Relampago_633,8,364.09,67.74,Quarto de Milha
266,Tempestade_50,7,445.19,56.22,Campolina
267,Atlas_1930,9,493.81,44.91,Mangalarga
268,Cometa_5654,3,500.2,59.1,Appaloosa
269,Titan_7293,15,487.2,41.78,Quarto de Milha
270,Trovão_6616,10,567.44,40.93,Puro Sangue
271,Raio_9368,3,571.97,69.24,Quarto de Milha
272,Valente_1127,7,428.09,49.28,Mangalarga
273,Ventania_8260,10,539.13,40.36,Campolina
274,Sombra_6410,10,352.05,53.17,Campolina
275,Trovão_7694,8,578.18,41.18,Quarto de Milha
276,Dominante_2021,2,421.94,48.93,Puro Sangue
277,Dominante_557,15,575.63,47.86,Mangalarga
278,Espartano_4607,8,444.28,68.97,Puro Sangue
279,Furacão_8911,8,404.58,67.89,Crioulo
280,Titan_2190,9,513.28,45.4,Puro Sangue
281,Trovão_5894,12,528.91,67.01,Mangalarga
282,Valente_9418,15,451.35,56.0,Crioulo
283,Apollo_946,8,371.86,48.66,Quarto de Milha
284,Cometa_4348,10,383.3,57.28,Appaloosa
285,Trovão_3015,12,444.95,66.32,Mangalarga
286,Galante_9721,11,394.39,59.43,Crioulo
287,Valente_6682,11,359.39,70.63,Mangalarga
288,Trovão_5248,7,407.36,68.35,Puro Sangue
289,Sombra_6170,11,387.24,54.79,Crioulo
290,Estrela_7046,13,405.9,57.23,Appaloosa
291,Dominante_6350,10,454.14,48.77,Puro Sangue
292,Pegasus_5983,8,377.96,60.65,Campolina
293,Tempestade_1445,7,583.16,61.45,Puro Sangue
294,Trovão_6132,8,495.65,41.75,Quarto de Milha
295,Raio_4395,8,598.08,52.03,Paint Horse
296,Sombra_3631,5,422.09,66.68,Campolina
297,Lendario_7013,6,515.6,72.14,Campolina
298,Veloz_3333,8,546.84,51.3,Appaloosa
299,Veloz_796,2,540.63,62.76,Mangalarga
300,Titan_7864,6,443.03,50.17,Crioulo
301,Ventania_5461,14,524.53,68.02,Mangalarga
302,Espartano_8649,9,411.8,45.36,Quarto de Milha
303,Atlas_1447,8,357.81,62.68,Paint Horse
304,Furacão_1933,6,451.05,51.42,Puro Sangue
305,Ventania_6613,15,401.89,58.2,Quarto de Milha
306,Ventania_7697,8,450.23,61.18,Puro Sangue
307,Relampago_5153,10,433.77,40.38,Appaloosa
308,Mustang_191,14,399.2,45.49,Appaloosa
309,Estrela_4576,8,446.48,74.67,Mangalarga
310,Raio_6122,4,590.46,54.9,Crioulo
311,Apollo_2320,13,433.92,46.47,Crioulo
312,Cometa_4435,7,443.3,56.39,Appaloosa
313,Dominante_2062,4,350.64,70.3,Appaloosa
314,Cometa_6552,11,417.06,44.1,Paint Horse
315,Titan_1770,4,543.64,52.0,Campolina
316,Lendario_8825,7,497.12,63.19,Crioulo
317,Relampago_6408,6,511.54,69.81,Quarto de Milha
318,Espartano_1645,3,368.86,40.12,Paint Horse
319,Trovão_7005,5,575.42,60.98,Appaloosa
320,Mustang_9485,6,384.33,65.17,Mangalarga
321,Dominante_3174,13,432.42,55.09,Campolina
322,Valente_4568,9,410.49,47.17,Quarto de Milha
323,Tempestade_706,12,541.93,64.49,Puro Sangue
324,Mustang_6768,3,545.96,67.6,Crioulo
325,Tempestade_3608,11,599.71,50.63,Paint Horse
326,Mustang_7653,15,593.18,70.66,Quarto de Milha
327,Trovão_8194,13,415.99,53.97,Appaloosa
328,Lendario_5499,3,561.97,42.79,Paint Horse
329,Valente_9123,4,583.7,62.68,Puro Sangue
330,Galante_6520,7,576.56,73.1,Crioulo
331,Tempestade_6529,10,456.31,53.85,Mangalarga
332,Tempestade_5162,10,416.17,73.43,Paint Horse
333,Apollo_1993,7,421.07,66.82,Puro Sangue
334,Relampago_4558,9,592.0,53.35,Paint Horse
335,Dominante_2180,7,481.72,54.28,Puro Sangue
336,Sombra_6102,8,437.53,65.98,Puro Sangue
337,Valente_5595,15,594.43,74.34,Mangalarga
338,Dominante_2259,5,556.06,48.58,Campolina
339,Raio_4852,9,584.7,47.16,Quarto de Milha
340,Veloz_7077,2,507.39,56.89,Puro Sangue
341,Trovão_8431,8,434.34,65.8,Quarto de Milha
342,Relampago_2530,3,377.22,59.81,Mangalarga
343,Espartano_2284,11,403.53,42.46,Puro Sangue
344,Titan_2064,2,405.1,57.0,Quarto de Milha
345,Titan_2641,11,398.51,66.6,Campolina
346,Apollo_559,9,487.57,65.15,Campolina
347,Estrela_8386,12,543.32,73.26,Appaloosa
348,Dominante_6127,11,478.24,58.3,Mangalarga
349,Galante_3337,3,540.98,66.19,Crioulo
350,Tempestade_3311,4,542.63,68.42,Paint Horse
351,Mustang_7906,13,433.65,55.98,Quarto de Milha
352,Tempestade_4451,12,506.41,72.89,Quarto de Milha
353,Atlas_6802,15,534.85,70.0,Appaloosa
354,Mustang_8405,6,431.8,62.17,Appaloosa
355,Espartano_9628,9,388.64,72.7,Crioulo
356,Valente_1955,8,589.35,40.12,Appaloosa
357,Atlas_356,5,494.76,62.51,Quarto de Milha
358,Relampago_7963,9,586.77,74.94,Mangalarga
359,Cometa_1733,14,596.9,68.21,Quarto de Milha
360,Lendario_464,5,487.95,74.24,Crioulo
361,Ventania_7186,12,424.13,72.37,Puro Sangue
362,Espartano_1516,10,529.15,63.36,Paint Horse
363,Apollo_2790,8,555.93,42.75,Quarto de Milha
364,Titan_74,7,539.65,42.07,Appaloosa
365,Galante_7820,3,355.13,49.22,Mangalarga
366,Galante_271,6,468.83,41.25,Mangalarga
367,Pegasus_7167,8,519.65,57.7,Appaloosa
368,Cometa_938,2,444.27,54.82,Quarto de Milha
369,Apollo_7967,7,533.56,71.82,Paint Horse
370,Tempestade_5710,5,551.9,70.23,Appaloosa
371,Trovão_426,8,556.69,45.33,Quarto de Milha
372,Espartano_6550,6,372.51,55.75,Mangalarga
373,Lendario_2226,10,550.72,74.89,Puro Sangue
374,Atlas_6582,10,368.18,69.76,Appaloosa
375,Furacão_1371,2,499.92,45.04,Campolina
376,Tempestade_3738,11,489.06,60.23,Mangalarga
377,Pegasus_4678,8,387.16,44.31,Paint Horse
378,Galante_6507,11,450.3,65.35,Campolina
379,Veloz_7425,10,546.11,49.16,Quarto de Milha
380,Dominante_6228,5,376.24,57.82,Mangalarga
381,Relampago_1790,12,401.44,52.6,Crioulo
382,Mustang_7391,10,425.22,68.45,Puro Sangue
383,Titan_8835,8,459.22,64.24,Mangalarga
384,Espartano_6842,15,425.33,66.66,Crioulo
385,Mustang_2259,4,504.21,55.16,Mangalarga
386,Raio_3902,4,409.05,68.31,Appaloosa
387,Cometa_5664,12,484.84,62.2,Quarto de Milha
388,Tempestade_7763,11,380.1,44.89,Crioulo
389,Dominante_2850,14,443.37,49.05,Appaloosa
390,Apollo_2321,13,467.27,67.41,Paint Horse
391,Veloz_9493,9,366.28,49.68,Paint Horse
392,Trovão_1767,7,438.04,45.43,Quarto de Milha
393,Atlas_9747,12,579.88,45.28,Puro Sangue
394,Pegasus_271,4,394.1,67.75,Mangalarga
395,Mustang_2483,15,427.48,51.79,Mangalarga
396,Atlas_7025,9,567.54,42.86,Campolina
397,Tempestade_6521,12,518.01,52.18,Campolina
398,Furacão_8420,8,498.06,54.02,Quarto de Milha
399,Cometa_8906,14,501.24,53.27,Crioulo
400,Sombra_7004,10,561.57,58.83,Paint Horse
401,Mustang_6431,4,369.79,49.02,Appaloosa
402,Veloz_5123,6,412.36,70.82,Appaloosa
403,Trovão_9747,15,527.46,50.47,Quarto de Milha
404,Titan_8655,11,451.2,42.58,Crioulo
405,Valente_3369,6,443.44,60.28,Quarto de Milha
406,Valente_2827,13,565.56,56.5,Quarto de Milha
407,Atlas_7408,14,576.96,54.27,Crioulo
408,Mustang_5634,2,379.85,44.33,Crioulo
409,Veloz_8703,14,496.55,71.25,Puro Sangue
410,Ventania_3827,3,521.5,58.28,Paint Horse
411,Galante_9142,8,420.09,62.35,Paint Horse
412,Apollo_3119,3,507.86,66.99,Appaloosa
413,Estrela_8434,2,581.92,55.96,Quarto de Milha
414,Cometa_1199,15,381.79,41.51,Puro Sangue
415,Trovão_4729,8,387.25,66.92,Campolina
416,Espartano_482,15,565.82,52.01,Mangalarga
417,Atlas_6418,5,516.27,58.43,Quarto de Milha
418,Mustang_92,15,424.97,68.48,Mangalarga
419,Mustang_642,10,452.92,66.98,Campolina
420,Sombra_3901,6,465.4,65.93,Puro Sangue
421,Furacão_8172,4,371.0,58.58,Quarto de Milha
422,Galante_6040,14,424.22,74.69,Puro Sangue
423,Galante_3813,11,542.59,60.49,Appaloosa
424,Titan_9323,4,437.7,52.27,Mangalarga
425,Pegasus_909,9,378.11,45.59,Crioulo
426,Dominante_8751,15,425.06,48.08,Paint Horse
427,Tempestade_703,3,553.82,73.28,Mangalarga
428,Atlas_5294,9,549.54,41.15,Quarto de Milha
429,Furacão_282,5,599.84,67.49,Quarto de Milha
430,Estrela_2564,13,409.17,65.86,Appaloosa
431,Lendario_3356,4,453.54,74.66,Campolina
432,Trovão_9550,8,521.3,74.76,Mangalarga
433,Espartano_140,9,403.94,54.26,Crioulo
434,Estrela_3314,11,367.24,67.33,Mangalarga
435,Galante_9830,4,387.44,42.87,Appaloosa
436,Mustang_7856,5,364.99,49.56,Puro Sangue
437,Relampago_7351,7,398.9,50.06,Quarto de Milha
438,Ventania_161,6,353.59,47.3,Campolina
439,Cometa_1109,8,534.97,57.08,Puro Sangue
440,Espartano_8004,8,436.18,61.77,Appaloosa
441,Titan_4750,3,457.68,66.4,Quarto de Milha
442,Atlas_888,4,395.15,54.57,Crioulo
443,Veloz_2493,6,522.71,73.76,Puro Sangue
444,Titan_6018,3,576.21,53.85,Mangalarga
445,Ventania_1767,9,352.69,57.35,Paint Horse
446,Galante_1674,9,535.87,55.16,Appaloosa
447,Trovão_1502,2,565.34,58.13,Quarto de Milha
448,Relampago_5160,5,558.66,51.65,Crioulo
449,Mustang_2454,11,486.41,74.63,Campolina
450,Espartano_198,15,470.64,74.0,Paint Horse
451,Furacão_4488,3,545.11,70.66,Campolina
452,Pegasus_3310,3,365.64,42.38,Quarto de Milha
453,Raio_8690,12,566.49,53.54,Paint Horse
454,Tempestade_4598,10,385.61,66.25,Puro Sangue
455,Sombra_7666,4,532.26,48.5,Paint Horse
456,Titan_9710,13,466.6,61.13,Puro Sangue
457,Furacão_5688,4,458.54,68.65,Crioulo
458,Trovão_5730,7,390.97,54.2,Puro Sangue
459,Lendario_3916,6,464.13,41.59,Quarto de Milha
460,Relampago_6497,14,581.92,69.44,Campolina
461,Mustang_912,2,451.52,73.09,Campolina
462,Relampago_6705,14,446.25,50.04,Appaloosa
463,Apollo_2828,12,587.14,44.67,Campolina
464,Trovão_8972,11,478.21,71.05,Campolina
465,Atlas_5045,3,572.14,41.53,Appaloosa
466,Relampago_2192,10,594.19,60.31,Puro Sangue
467,Lendario_9298,15,495.25,59.37,Crioulo
468,Pegasus_6045,4,355.16,50.65,Campolina
469,Galante_1240,10,466.2,50.3,Mangalarga
470,Lendario_340,8,593.36,47.38,Quarto de Milha
471,Furacão_2327,2,378.39,52.16,Quarto de Milha
472,Pegasus_3873,12,357.52,70.96,Paint Horse
473,Apollo_7059,2,529.4,67.09,Paint Horse
474,Valente_6323,11,527.17,62.69,Quarto de Milha
475,Raio_8173,4,387.09,41.7,Appaloosa
476,Espartano_834,12,538.27,42.13,Quarto de Milha
477,Pegasus_4310,4,389.34,60.06,Paint Horse
478,Veloz_801,12,377.18,69.38,Appaloosa
479,Dominante_9672,8,585.92,47.81,Quarto de Milha
480,Pegasus_2477,3,357.12,60.24,Crioulo
481,Raio_9996,12,516.01,43.13,Quarto de Milha
482,Lendario_6420,14,363.47,65.9,Quarto de Milha
483,Raio_1119,5,470.94,70.43,Paint Horse
484,Apollo_4104,7,524.26,56.08,Mangalarga
485,Titan_4239,12,364.34,48.2,Paint Horse
486,Pegasus_6559,3,398.56,61.72,Appaloosa
487,Atlas_8371,11,562.07,66.15,Quarto de Milha
488,Mustang_6686,4,495.05,66.74,Quarto de Milha
489,Cometa_8196,12,419.7,73.1,Quarto de Milha
490,Apollo_514,14,574.59,44.47,Quarto de Milha
491,Raio_144,5,441.71,72.91,Crioulo
492,Furacão_455,6,415.47,46.05,Paint Horse
493,Veloz_2054,8,427.43,65.24,Appaloosa
494,Valente_5780,6,381.57,60.31,Crioulo
495,Pegasus_6104,13,576.73,69.72,Mangalarga
496,Valente_4370,15,420.88,46.46,Campolina
497,Mustang_7811,8,508.77,65.39,Mangalarga
498,Relampago_6914,13,559.49,73.27,Quarto de Milha
499,Titan_6645,2,578.03,48.62,Crioulo
500,Sombra_3399,10,423.57,68.29,Quarto de Milha
501,Sombra_8207,12,528.24,55.21,Crioulo
502,Dominante_8439,8,568.37,46.99,Quarto de Milha
503,Atlas_8317,7,354.08,70.24,Paint Horse
504,Atlas_643,3,381.3,42.99,Appaloosa
505,Lendario_3661,2,565.74,44.15,Quarto de Milha
506,Cometa_2823,13,507.46,56.84,Paint Horse
507,Dominante_1146,7,446.5,40.65,Paint Horse
508,Relampago_3569,15,475.94,42.16,Appaloosa
509,Furacão_9060,2,499.74,73.26,Campolina
510,Pegasus_9192,13,448.28,42.05,Crioulo
511,Furacão_9476,5,456.24,52.08,Quarto de Milha
512,Lendario_3900,2,509.32,43.77,Campolina
513,Relampago_5703,7,527.15,47.68,Paint Horse
514,Galante_8253,7,496.01,61.73,Campolina
515,Apollo_6294,14,518.91,72.33,Paint Horse
516,Mustang_8263,10,423.13,48.37,Quarto de Milha
517,Mustang_8501,4,540.06,61.86,Puro Sangue
518,Sombra_6129,13,439.05,64.69,Crioulo
519,Dominante_5962,15,404.54,46.97,Puro Sangue
